Isad311Référence,Isad312Intitulé,Isad313Dates,Isad313DatesNormees,Isad315ImportanceMatérielle,Isad321NomProducteur,CategorieFonds,TypeInstrumentRecherche,url,PresentationProducteur
CH BGE Non catalogué (1998/014),Papiers Jean-Marie Pastor,20e s.,1980/1998,2.2 m.,"Pastor, Jean-Marie (né en 1953)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtadae147c0a6bad13c,
CH BGE Ms. fr. 2391-2460,Archives de la famille Claparède,15e - 20e s.,1400/1999,3.5 m.,"Claparède, famille",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta7ecd6d786950e4b4,"Originaire de Pompignan (Languedoc), la famille Claparède a émigré à Genève après la Révocation de l'édit de Nantes. Elle s'est illustrée par de nombreuses personnalités dans les domaines de la politique, de la religion et des sciences. Descendant de Pierre (1595-1672), Claude (1623-1682) est consul à Nîmes. Son fils Claude (1661-1737), négociant, se réfugie en Suisse peu après 1685 et s'établit à Genève en 1691. Son fils Jacques (1696-1747), est reçu bourgeois de Genève en 1724. Suivent cinq générations caractérisées par des personnalités d'élite et des alliances avec d'importantes familles genevoises (dont Gallatin, Calandrini, Lullin, Dunant, Trembley). L'usage de la particule, non systématique, remonte au second Claude. [adapté de Jean de Senarclens, ""Claparède [de]"" in Dictionnaire historique de la Suisse (DHS), version du 04/05/2005, url: http://www.hls-dhs-dss.ch/textes/f/F25493.php]."
CH BGE Non catalogué (2006/016),Papiers Richard Simon,20e - 21e s.,1900/2099,2 m.,"Simon, Richard (1959-2001)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta959ba4c08e0d5e66,Enseignant de mathématiques et informaticien
CH BGE Ms. fr. 6967-6975,Archives de la Société d'établissement des orphelines protestantes de Genève,1828-1945,1828/1945,1.42 ml [8 cartons],Société d'établissement des orphelines protestantes de Genève,Collectivités,Normal,https://archives.bge-geneve.ch/ark:/17786/vta114124573c8d0ba7,"""L'établissement des orphelines de la Ville de Genève est fondé en 1805 pour recueillir les jeunes filles âgées de cinq à dix ans"". Il n'est reconnu par le Conseil d'Etat qu'en 1822. [D'après le site des Archives d'Etat de Genève et BGE Ms. fr. 6967/2] En 1873, il change son nom d'Etablissement des orphelines (Genève) pour devenir la Société d'établissement des orphelines protestantes de Genève et en 1902 Les Laurelles [à Carouge]. L'établissement ferme définitivement en 1939. D'abord destiné exclusivement aux jeunes filles de famille genevoise et protestante, la Société s'ouvre à toute pauvre et orpheline de mère. Les directrices en 1822 sont Mesdames Aubert-Sarasin, De Roches-Joly, De Vegobre, Diodati-Vernet, Jolivet, Pictet-Menet, Rillet-Necker, Schmidtmeyer-Fatio et Vernet-Pictet et son Comité adjoint est formé en 1832 de Messieurs Golaz, Hentch-Chastel, Lullin-Diodati (syndic), Pictet-Baraban et du pasteur Ramu pour une quarantaine d'orphelines. En 1924, le Comité est composé de Madame [Emilie] Auguste Blondel [décédée en 1944], présidente, Madame Jean Martin, Mademoiselle M. Martin-Achard, Madame Antoine Gouy et 8 autres membres. La directrice est Mademoiselle C. Clément et la sous-directrice E. Krähenbühl. [D'après Herrmann, Irène, ""Genève, entre République et Canton"", Presses de l'Université de Laval, 2003, p. 243ss et Ms. fr. 6967/2]"
CH BGE Ms. fr. 7086-7159,Fonds Ella Maillart,20e s.,1900/1999,10 m.l.,"Maillart, Ella (1903-1997)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta93fadf192b588e45,"Fille de Paul Maillart et de Dagmar Marie Kliim (danoise), Ella Mailllart est née le 20 février 1903 à Genève où elle passe son enfance et sa jeunesse. Elle consacre ses vacances d'été à naviguer sur le lac, l'hiver à skier et faire des compétitions de hockey. Son goût du large apparaît vite; d'abord elle se contente de la Méditerranée et de l’Atlantique. Viennent ensuite ses voyages de plus en plus lointains dans des contrées peu connues, voire dangereuses (Russie, Turkestan, Iran, Chine, Inde, Afghanistan, Turquie). La guerre de 1939 la surprend en Asie; elle décide alors de rester en Inde où elle se consacre à l’apprentissage de la sagesse. et à sa chatte Ti-Puss. La philosophie hindoue, et plus particulièrement la pensée de l’Advaita Vedanta, n'ont désormais plus de secrets pour elle. Néanmoins, ces expéditions lointaines posent de graves problèmes financiers; aussi cherche-t-elle toute sa vie à les combler en faisant de nombreuses conférences, en présentant des diapositives (déposées aujourd'hui au Musée de l'Elysée à Lausanne), en écrivant de très nombreux articles pour des quotidiens ou des revues, en participant à des éditions radiophoniques et surtout en publiant des récits de voyages. Ces derniers, écrits en anglais ou en français, retracent sa vie et décrivent les mers sur lesquelles elle a navigué, les pays qu'elle a parcourus. Sa riche personnalité et ses voyages fabuleux ne laissent pas les journalistes indifférents : les premiers articles la concernant sont publiés en 1925 et ne cesseront de paraître durant toute sa vie, relatant ses activités (conférences, publications de nouveaux ouvrages, courses de ski ou championnats de voile). Ces très nombreuses coupures de presse ont été soigneusement découpées et collées, d'abord par sa mère, Mme Paul Maillart, puis par elle-même. Notice biographique rédigée par Françoise Pittard"
CH BGE Ms. fr. 1401-1402,Papiers Samuel Vaucher-Crémieux,1772-1899,1772/1899,0.1 m.,"Vaucher-Crémieux, Samuel (1798-1877)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta6b29b122005e923e,"Elève de Guillaume-Henri Dufour, puis de Jean-Nicolas-Louis Durand, avant d'être admis à l'Ecole des beaux-arts à Paris (1815-1818). De retour à Genève, Samuel Vaucher obtint des commandes importantes, du fait de sa formation et des relations étroites qu'il entretint avec Dufour. Après une prison pénitentiaire inspirée du modèle panoptique (1822-1824), il construisit pour les sœurs Rath un musée des beaux-arts (1824-1826), premier de son genre en Suisse, puis des immeubles à la rue de la Corraterie (1827-1833) et l'asile d'aliénés (1836-1837), autant de réalisations qui en font le représentant le plus illustre du courant néoclassique à Genève. Samuel Vaucher s'occupa aussi de questions d'urbanisme, en participant à la création du quartier des Bergues à Genève (dès 1827), en projetant une rue pour Lucerne (1831) ou un vaste quartier pour Annecy (1835-1836). Membre du Conseil représentatif genevois (1839). En 1847, il s'établit à Marseille, où lui sont attribués d'importants travaux: cité ouvrière, lazaret, résidence impériale; il fut l'architecte de la maison de l'empereur dès 1852. De retour à Genève en 1861, Samuel Vaucher se consacra essentiellement à l'étude des maisons de détention, imaginant notamment le regroupement des détenus de toute la Suisse dans deux ou trois établissements (Du système pénitentiaire agricole et professionnel pour les prisonniers adultes, 1864). Son activité d'architecte se poursuivit par des projets de percement de rues et de tunnel pour Genève et par le dessin des plans de la prison de Neuchâtel (1867). Lieutenant-colonel du génie. Décoré de la Légion d'honneur. Extrait de David Ripoll, ""Vaucher, Samuel"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F19463.php, version du 27.12.2014"
CH BGE Ms. fr. 611-630,Papiers Firmin Abauzit,17e s. - 18e s.,1600/1799,0.3 m.,"Abauzit, Firmin (1679-1767)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vtaa19be584883eebc3,"Firmin Abauzit naît à Uzès en 1679 de parents protestants. En 1689, sa mère l'envoie chez son grand-père paternel à Genève, où il fait ses études à l'Académie. Il voyage en Hollande et en Angleterre, puis de retour à Genève, il accepte un poste de bibliothécaire en 1727, après avoir refusé la chaire de philosophie en 1723. Grand érudit, Abauzit s'intéresse aux domaines les plus divers, dont: langues anciennes, histoire, géographie, sciences, belles-lettres, théologie. Il est l'auteur d'une riche correspondance scientifique, mais ses publications sont peu nombreuses. Il meurt à Genève en 1767. (résumé de l'article d'Olivier Fatio dans le DHS)"
CH BGE Arch. Max van Berchem 1-38,Correspondance Max van Berchem,1878-1978,1878/1978,2.7 m,"Berchem, Max van (1863-1921)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta2cf76495bf66ab16,"Orientaliste, fondateur de l'épigraphie arabe. Max van Berchem (16 mars 1863 - 7 mars 1921) est fils d'Alexandre, rentier, et de Mathilde Sarasin et frère de Victor. Il épouse en premières noces, Elisabeth Frossard de Saugy et en secondes noces, Alice Naville, fille d'Albert, professeur d'histoire. Après des études de sciences à Genève (1880-1881), puis de lettres à Leipzig, Strasbourg et Berlin, sa thèse (Leipzig, 1886) qui porte sur ""La propriété territoriale et l'impôt sous les premiers califes"" lui vaut une réputation d'orientaliste et de spécialiste de l'archéologie musulmane. Dès 1887, van Berchem travaille en Egypte, en Syrie, en Palestine, en Turquie. Fondateur de l'épigraphie arabe, il séjourne de 1889 à 1914 au Caire et au Moyen-Orient, récoltant les ""Matériaux pour un Corpus Inscriptionum Arabicarum"" (1894-1925). Il dirige les fouilles de l'église Saint-Gervais à Genève (1902-1903). Il est membre associé de l'Académie française des inscriptions et belles-lettres (1913). La Fondation Max van Berchem, créée à l'instigation de sa fille Marguerite, archéologue, vise à promouvoir l'étude de la civilisation islamique et arabe. [D'après Catherine Santschi, ""Berchem, Max van"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F32268.php, version du 11/05/2004]"
"CH BGE Non catalogué (2005/042, 2007/045)",Fonds Gabriel Mützenberg,20e s.,1930/1999,14 m.,"Mützenberg, Gabriel (1919-2003)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta53bdef83b8c1a069,"Originaire de Spiez, Gabriel Mützenberg est né à Genève le 9 avril 1919. Formé comme instituteur, il commence sa vie d’enseignant en 1942 à Genève, puis à Vandœuvres. La tuberculose interrompt sa carrière et lui impose de longs séjours aux Grisons où il découvre la langue et la culture rhéto-romane. En 1955, il renoue avec l’enseignement et commence, parallèlement à son travail, des études d’histoire à l’Université de Genève qui seront couronnées par une licence (1963) et par un doctorat (1973) pour une thèse intitulée ""Genève 1830. Restauration de l'Ecole"" (Lausanne, Ed. du Grand-Pont, 1975). Parallèlement, il se lance dans le journalisme, publie de nombreux articles sur la culture rhéto-romane, l'histoire de la Réforme, le Réveil au 19e siècle, la pédagogie. Membre actif de plusieurs sociétés savantes, il prononce de nombreuses conférences sur des sujets historiques. En 1965, il épouse l'écrivaine Denise Oberli, qui créera plus tard les Éditions Samizdat, avec laquelle il a deux garçons. Il partage avec elle la rédaction de la revue Certitudes. Membre fondateur de la Société Henry Dunant en 1975, il participe dès lors et sans relâche aux activités de celle-ci. Il reçoit le premier Prix Henry Dunant en 1995. De 1984 à 1999, il préside par ailleurs la Société évangélique. Gabriel Mützenberg est décédé le 29 septembre 2002."
CH BGE Non catalogué (2016/27; 2018/14),Papiers François Bartholoni,19e-20e siècle,1800/1999,2 m,"Bartholoni, François (1796-1881)",Personnes et familles,Normal,https://archives.bge-geneve.ch/ark:/17786/vta61231bfa6c871a9f,"François Bartholoni naît à Genève en 1796. Il est issu d'une famille protestante originaire de Florence, dont les membres sont reçus bourgeois de Genève dès 1606. Il s'installe jeune à Paris, où il acquiert une solide réputation dans le milieu des affaires. François Bartholoni est très actif dans le milieu bancaire et est l'un des pionniers des chemins de fer en France. Il est aussi la cheville ouvrière de la ligne entre Genève et Lyon. Brillant économiste et financier, c'est également à lui que Genève doit la création du Conservatoire de musique ainsi que la construction de la Villa Bartholoni qui héberge aujourd'hui le Musée d'Histoire des Sciences. Il décède à Genève en 1881. D'après: - Jean de Senarclens, ""Bartholoni, François"", in Dictionnaire historique de la Suisse (DHS), url: http://www.hls-dhs-dss.ch/textes/f/F30004.php, version du 27.11.00 - Base de données ""Noms géographiques du canton de Genève"": http://ge.ch/noms-geographiques/voie/geneve/rue-jean-francois-bartholoni, consulté le 7.11.17"
