Isad311Référence;Isad312Intitulé;Isad313Dates;Isad313DatesNormees;Isad315ImportanceMatérielle;Isad321NomProducteur;CategorieFonds;TypeInstrumentRecherche;url
CH BGE Non catalogué (1998/014);Papiers Jean-Marie Pastor;20e s.;1980/1998;2.2 m.;Pastor, Jean-Marie (né en 1953);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtadae147c0a6bad13c
CH BGE Ms. fr. 2391-2460;Archives de la famille Claparède;15e - 20e s.;1400/1999;3.5 m.;Claparède, famille;Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta7ecd6d786950e4b4
CH BGE Non catalogué (2006/016);Papiers Richard Simon;20e - 21e s.;1900/2099;2 m.;Simon, Richard (1959-2001);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta959ba4c08e0d5e66
CH BGE Ms. fr. 6967-6975;Archives de la Société d'établissement des orphelines protestantes de Genève;1828-1945;1828/1945;1.42 ml [8 cartons];Société d'établissement des orphelines protestantes de Genève;Collectivités;Normal;https://archives.bge-geneve.ch/ark:/17786/vta114124573c8d0ba7
CH BGE Ms. fr. 7086-7159;Fonds Ella Maillart;20e s.;1900/1999;10 m.l.;Maillart, Ella (1903-1997);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta93fadf192b588e45
CH BGE Ms. fr. 1401-1402;Papiers Samuel Vaucher-Crémieux;1772-1899;1772/1899;0.1 m.;Vaucher-Crémieux, Samuel (1798-1877);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta6b29b122005e923e
CH BGE Ms. fr. 611-630;Papiers Firmin Abauzit;17e s. - 18e s.;1600/1799;0.3 m.;Abauzit, Firmin (1679-1767);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vtaa19be584883eebc3
CH BGE Arch. Max van Berchem 1-38;Correspondance Max van Berchem;1878-1978;1878/1978;2.7 m;Berchem, Max van (1863-1921);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta2cf76495bf66ab16
CH BGE Non catalogué (2005/042, 2007/045);Fonds Gabriel Mützenberg;20e s.;1930/1999;14 m.;Mützenberg, Gabriel (1919-2003);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta53bdef83b8c1a069
"CH BGE Non catalogué (2016/27; 2018/14)";Papiers François Bartholoni;19e-20e siècle;1800/1999;2 m;Bartholoni, François (1796-1881);Personnes et familles;Normal;https://archives.bge-geneve.ch/ark:/17786/vta61231bfa6c871a9f
